terrace	bedrooms	construction_year	date_month	date_year	date_year_month	floor	rooms	price_room	price_surface	price	surface	zip
yes	2.0	1986.0	3	2016	201603	up floor	2.0	162500.0	3591.160220994475	325000	90.5	85221
yes	1.0	1972.0	3	2016	201603	up floor	2.0	172500.0	3812.1546961325967	345000	90.5	85521
yes	2.0	1968.0	3	2016	201603	up floor	2.0	185000.0	4088.3977900552486	370000	90.5	81369
yes	2.0	1963.0	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	82110
yes	2.0	1973.0	3	2016	201603	up floor	2.0	184400.0	4075.1381215469614	368800	90.5	81735
yes	2.0	1972.0	3	2016	201603	up floor	2.0	128500.0	2839.779005524862	257000	90.5	85716
yes	2.0	1975.0	3	2016	201603	up floor	2.0	164500.0	3635.3591160220994	329000	90.5	81673
yes	1.0	1972.0	3	2016	201603	up floor	2.0	159500.0	3524.8618784530386	319000	90.5	85716
yes	1.0	1983.0	3	2016	201603	up floor	2.0	172500.0	3812.1546961325967	345000	90.5	81379
yes	2.0	1967.0	3	2016	201603	up floor	2.0	149500.0	3303.8674033149173	299000	90.5	81927
yes	1.0	1970.0	3	2016	201603	up floor	2.0	182500.0	4033.1491712707184	365000	90.5	81245
yes	2.0	1976.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	81925
yes	1.0	1973.0	3	2016	201603	up floor	2.0	143500.0	3171.270718232044	287000	90.5	85540
yes	2.0	1968.0	3	2016	201603	up floor	2.0	190000.0	4198.8950276243095	380000	90.5	81245
yes	1.0	2005.0	3	2016	201603	up floor	2.0	179000.0	3955.8011049723755	358000	90.5	82110
yes	2.0	1964.0	3	2016	201603	up floor	2.0	155000.0	3425.414364640884	310000	90.5	82110
yes	1.0	1972.0	3	2016	201603	up floor	2.0	174500.0	3856.353591160221	349000	90.5	82061
yes	2.0	1974.0	3	2016	201603	up floor	2.0	138336.0	3057.1491712707184	276672	90.5	81735
yes	1.0	1974.0	3	2016	201603	up floor	2.0	175000.0	3867.403314917127	350000	90.5	80935
yes	2.0	1967.0	3	2016	201603	ground floor	2.0	160000.0	3535.9116022099447	320000	90.5	85521
yes	2.0	1913.0	3	2016	201603	up floor	2.0	150000.0	3314.9171270718234	300000	90.5	81371
yes	2.0	1960.0	3	2016	201603	up floor	2.0	169500.0	3745.8563535911603	339000	90.5	81245
yes	2.0	1969.0	3	2016	201603	up floor	2.0	162500.0	3591.160220994475	325000	90.5	81673
yes	3.0	1975.0	3	2016	201603	up floor	2.0	199000.0	4397.790055248619	398000	90.5	81735
yes	3.0	1970.0	3	2016	201603	up floor	2.0	194000.0	4287.292817679558	388000	90.5	80807
yes	2.0	1972.0	3	2016	201603	up floor	2.0	200000.0	4419.889502762431	400000	90.5	81735
yes	2.0	1989.0	3	2016	201603	up floor	2.0	135000.0	2983.425414364641	270000	90.5	81737
yes	2.0	1975.8583638583639	3	2016	201603	up floor	2.0	187500.0	4143.646408839779	375000	90.5	81539
yes	2.0	1978.0	3	2016	201603	up floor	2.0	189500.0	4187.845303867403	379000	90.5	81371
yes	2.0	1967.0	3	2016	201603	up floor	2.0	185000.0	4088.3977900552486	370000	90.5	81243
yes	1.0	1976.0	3	2016	201603	up floor	2.0	134500.0	2972.3756906077347	269000	90.5	85640
yes	1.0	1979.0	3	2016	201603	up floor	2.0	184500.0	4077.3480662983425	369000	90.5	82131
yes	1.0	1971.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	81476
yes	1.0	1967.0	3	2016	201603	up floor	2.0	110000.0	2430.939226519337	220000	90.5	80689
yes	3.0	1967.0	3	2016	201603	up floor	2.0	192900.0	4262.983425414364	385800	90.5	81541
yes	2.0	1968.0	3	2016	201603	up floor	2.0	172500.0	3812.1546961325967	345000	90.5	82008
yes	2.0	1969.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	82008
yes	1.0	1963.0	3	2016	201603	up floor	2.0	180000.0	3977.9005524861877	360000	90.5	80686
yes	2.0	1963.0	3	2016	201603	up floor	2.0	189750.0	4193.370165745856	379500	90.5	82110
yes	2.0	1966.0	3	2016	201603	ground floor	2.0	149000.0	3292.817679558011	298000	90.5	81475
yes	2.0	1970.0	3	2016	201603	up floor	2.0	157500.0	3480.6629834254145	315000	90.5	85221
yes	2.0	2014.0	3	2016	201603	up floor	2.0	194500.0	4298.342541436464	389000	90.5	81241
yes	1.0	1964.0	3	2016	201603	up floor	2.0	112500.0	2486.1878453038676	225000	90.5	80992
yes	2.0	1975.8583638583639	3	2016	201603	up floor	2.0	165000.0	3646.4088397790056	330000	90.5	80997
yes	2.0	1975.8583638583639	3	2016	201603	up floor	2.0	165000.0	3646.4088397790056	330000	90.5	80997
yes	2.0	1966.0	3	2016	201603	up floor	2.0	154000.0	3403.314917127072	308000	90.5	81476
yes	2.0	1973.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	81737
yes	2.0	1972.0	3	2016	201603	up floor	2.0	167500.0	3701.657458563536	335000	90.5	81243
yes	2.0	1975.0	3	2016	201603	ground floor	2.0	199750.0	4414.364640883978	399500	90.5	81369
yes	2.0	1981.0	3	2016	201603	up floor	2.0	175000.0	3867.403314917127	350000	90.5	81739
yes	2.0	1968.0	3	2016	201603	up floor	2.0	169500.0	3745.8563535911603	339000	90.5	81379
yes	2.0	1954.0	3	2016	201603	up floor	2.0	164500.0	3635.3591160220994	329000	90.5	80687
yes	2.0	1966.0	3	2016	201603	up floor	2.0	164500.0	3635.3591160220994	329000	90.5	81369
yes	1.0	1963.0	3	2016	201603	ground floor	2.0	180000.0	3977.9005524861877	360000	90.5	80686
yes	2.0	1992.0	3	2016	201603	ground floor	2.0	190000.0	4198.8950276243095	380000	90.5	81827
yes	2.0	1966.0	3	2016	201603	up floor	2.0	184500.0	4077.3480662983425	369000	90.5	81827
yes	2.0	1975.0	3	2016	201603	up floor	2.0	152750.0	3375.6906077348067	305500	90.5	85540
yes	3.0	2016.0	3	2016	201603	ground floor	2.0	0.0	0.0	0	90.5	82041
yes	2.0	1971.0	3	2016	201603	up floor	2.0	179500.0	3966.8508287292816	359000	90.5	82110
yes	2.0	1964.0	3	2016	201603	up floor	2.0	194500.0	4298.342541436464	389000	90.5	82152
yes	1.0	1975.8583638583639	3	2016	201603	up floor	2.0	197000.0	4353.591160220994	394000	90.5	81245
yes	1.0	1972.0	3	2016	201603	up floor	2.0	167500.0	3701.657458563536	335000	90.5	81243
yes	2.0	2003.0	3	2016	201603	up floor	2.0	192000.0	4243.093922651934	384000	90.5	82110
yes	3.0	1963.0	3	2016	201603	up floor	2.0	167500.0	3701.657458563536	335000	90.5	85521
yes	2.0	1975.0	3	2016	201603	ground floor	2.0	139500.0	3082.8729281767955	279000	90.5	85221
yes	3.0	1969.0	3	2016	201603	up floor	2.0	169500.0	3745.8563535911603	339000	90.5	82008
yes	2.0	1975.8583638583639	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	81243
yes	1.0	1968.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	81735
yes	2.0	1971.0	3	2016	201603	up floor	2.0	175000.0	3867.403314917127	350000	90.5	82178
yes	2.0	1967.0	3	2016	201603	up floor	2.0	169500.0	3745.8563535911603	339000	90.5	80992
yes	2.0	1984.0	3	2016	201603	up floor	2.0	146500.0	3237.5690607734805	293000	90.5	81541
yes	3.0	1975.8583638583639	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	81243
yes	1.0	1940.0	3	2016	201603	up floor	2.0	160000.0	3535.9116022099447	320000	90.5	81377
yes	2.0	1988.0	3	2016	201603	up floor	2.0	125000.0	2762.4309392265195	250000	90.5	80807
yes	2.0	1971.0	3	2016	201603	up floor	2.0	199999.5	4419.878453038674	399999	90.5	81241
yes	1.0	1964.0	3	2016	201603	up floor	2.0	112500.0	2486.1878453038676	225000	90.5	80992
yes	3.0	1967.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	80935
yes	2.0	1961.0	3	2016	201603	up floor	2.0	174500.0	3856.353591160221	349000	90.5	80686
yes	1.0	1960.0	3	2016	201603	up floor	2.0	194000.0	4287.292817679558	388000	90.5	80686
yes	2.0	1992.0	3	2016	201603	ground floor	2.0	174975.0	3866.8508287292816	349950	90.5	80935
yes	2.0	1993.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	81927
yes	2.0	1988.0	3	2016	201603	up floor	2.0	197750.0	4370.165745856353	395500	90.5	81669
yes	2.0	1975.8583638583639	3	2016	201603	up floor	2.0	167500.0	3701.657458563536	335000	90.5	81927
yes	1.0	1989.0	3	2016	201603	up floor	2.0	179500.0	3966.8508287292816	359000	90.5	81479
yes	2.0	1993.0	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	81243
yes	1.0	1975.0	3	2016	201603	up floor	2.0	179500.0	3966.8508287292816	359000	90.5	85540
yes	4.0	1975.0	3	2016	201603	up floor	2.0	97500.0	2154.696132596685	195000	90.5	85640
yes	1.0	1971.0	3	2016	201603	up floor	2.0	175050.0	3868.508287292818	350100	90.5	82110
yes	1.0	1976.0	3	2016	201603	up floor	2.0	134500.0	2972.3756906077347	269000	90.5	85640
yes	2.0	1994.0	3	2016	201603	up floor	2.0	187500.0	4143.646408839779	375000	90.5	82008
yes	2.0	1980.0	3	2016	201603	up floor	2.0	142500.0	3149.171270718232	285000	90.5	82110
yes	1.0	1978.0	3	2016	201603	up floor	2.0	149500.0	3303.8674033149173	299000	90.5	85716
yes	2.0	1974.0	3	2016	201603	up floor	2.0	165000.0	3646.4088397790056	330000	90.5	85521
yes	3.0	1974.0	3	2016	201603	up floor	2.0	182500.0	4033.1491712707184	365000	90.5	85609
yes	2.0	1974.0	3	2016	201603	up floor	2.0	164500.0	3635.3591160220994	329000	90.5	85609
yes	1.0	1972.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	85521
yes	1.0	1972.0	3	2016	201603	up floor	2.0	187500.0	4143.646408839779	375000	90.5	85609
yes	2.0	2015.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	81243
yes	2.0	1984.0	3	2016	201603	up floor	2.0	187500.0	4143.646408839779	375000	90.5	81539
yes	2.0	2001.0	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	80939
yes	1.0	1964.0	3	2016	201603	up floor	2.0	112500.0	2486.1878453038676	225000	90.5	80992
yes	2.0	1972.0	3	2016	201603	up floor	2.0	182500.0	4033.1491712707184	365000	90.5	80993
yes	1.0	1961.0	3	2016	201603	up floor	2.0	170000.0	3756.9060773480664	340000	90.5	81675
yes	1.0	1968.0	3	2016	201603	up floor	2.0	170000.0	3756.9060773480664	340000	90.5	81927
yes	1.0	1964.0	3	2016	201603	up floor	2.0	112500.0	2486.1878453038676	225000	90.5	80992
yes	2.0	1962.0	3	2016	201603	up floor	2.0	180000.0	3977.9005524861877	360000	90.5	80686
yes	2.0	1972.0	3	2016	201603	up floor	2.0	175000.0	3867.403314917127	350000	90.5	80937
yes	1.0	1987.0	3	2016	201603	up floor	2.0	199000.0	4397.790055248619	398000	90.5	81739
yes	2.0	1956.0	3	2016	201603	up floor	2.0	149500.0	3303.8674033149173	299000	90.5	80997
yes	1.0	1972.0	3	2016	201603	up floor	2.0	125000.0	2762.4309392265195	250000	90.5	80689
yes	1.0	1967.0	3	2016	201603	up floor	2.0	152500.0	3370.1657458563536	305000	90.5	80997
yes	1.0	1968.0	3	2016	201603	up floor	2.0	189900.0	4196.685082872928	379800	90.5	81369
yes	2.0	1965.0	3	2016	201603	up floor	2.0	166500.0	3679.558011049724	333000	90.5	81475
yes	1.0	1968.0	3	2016	201603	up floor	2.0	160000.0	3535.9116022099447	320000	90.5	80935
yes	1.0	1969.0	3	2016	201603	ground floor	2.0	187500.0	4143.646408839779	375000	90.5	81379
yes	2.0	1963.0	3	2016	201603	up floor	2.0	181000.0	4000.0	362000	90.5	81927
yes	2.0	1978.0	3	2016	201603	up floor	2.0	200000.0	4419.889502762431	400000	90.5	81477
yes	3.0	1973.0	3	2016	201603	up floor	2.0	182500.0	4033.1491712707184	365000	90.5	85774
yes	1.0	2004.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	85679
yes	2.0	1972.0	3	2016	201603	up floor	2.0	181500.0	4011.049723756906	363000	90.5	85521
yes	3.0	1977.0	3	2016	201603	up floor	2.0	175000.0	3867.403314917127	350000	90.5	85221
yes	2.0	1983.0	3	2016	201603	up floor	2.0	175000.0	3867.403314917127	350000	90.5	82024
yes	2.0	1994.0	3	2016	201603	ground floor	2.0	195000.0	4309.39226519337	390000	90.5	85757
yes	2.0	1969.0	3	2016	201603	up floor	2.0	184500.0	4077.3480662983425	369000	90.5	85757
yes	2.0	1973.0	3	2016	201603	up floor	2.0	107500.0	2375.6906077348067	215000	90.5	82110
yes	2.0	1971.0	3	2016	201603	up floor	2.0	129500.0	2861.8784530386743	259000	90.5	82110
yes	2.0	1967.0	3	2016	201603	up floor	2.0	185000.0	4088.3977900552486	370000	90.5	81243
yes	1.0	1971.0	3	2016	201603	up floor	2.0	170000.0	3756.9060773480664	340000	90.5	81927
yes	2.0	1990.0	3	2016	201603	up floor	2.0	147500.0	3259.6685082872928	295000	90.5	81479
yes	1.0	1969.0	3	2016	201603	up floor	2.0	147500.0	3259.6685082872928	295000	90.5	81735
yes	2.0	1965.0	3	2016	201603	up floor	2.0	169500.0	3745.8563535911603	339000	90.5	80807
yes	2.0	1967.0	3	2016	201603	up floor	2.0	165750.0	3662.983425414365	331500	90.5	81539
yes	1.0	1969.0	3	2016	201603	up floor	2.0	164700.0	3639.779005524862	329400	90.5	81735
yes	2.0	1975.8583638583639	3	2016	201603	up floor	2.0	149000.0	3292.817679558011	298000	90.5	81737
yes	2.0	1966.0	3	2016	201603	up floor	2.0	150000.0	3314.9171270718234	300000	90.5	81475
yes	2.0	1989.0	3	2016	201603	up floor	2.0	147500.0	3259.6685082872928	295000	90.5	80997
yes	1.0	1963.0	3	2016	201603	up floor	2.0	182500.0	4033.1491712707184	365000	90.5	80636
yes	2.0	1999.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	81825
yes	2.0	1960.0	3	2016	201603	up floor	2.0	189500.0	4187.845303867403	379000	90.5	80807
yes	2.0	1988.0	3	2016	201603	up floor	2.0	149500.0	3303.8674033149173	299000	90.5	80939
yes	1.0	1968.0	3	2016	201603	ground floor	2.0	164500.0	3635.3591160220994	329000	90.5	81927
yes	2.0	1960.0	3	2016	201603	up floor	2.0	177500.0	3922.6519337016575	355000	90.5	80637
yes	2.0	1964.0	3	2016	201603	up floor	2.0	140000.0	3093.9226519337017	280000	90.5	81541
yes	2.0	1968.0	3	2016	201603	up floor	2.0	179500.0	3966.8508287292816	359000	90.5	82008
yes	2.0	1972.0	3	2016	201603	ground floor	2.0	159500.0	3524.8618784530386	319000	90.5	85716
yes	1.0	1978.0	3	2016	201603	up floor	2.0	62500.0	1381.2154696132598	125000	90.5	85640
yes	2.0	1980.0	3	2016	201603	up floor	2.0	167000.0	3690.6077348066297	334000	90.5	82110
yes	2.0	1980.0	3	2016	201603	ground floor	2.0	165000.0	3646.4088397790056	330000	90.5	82110
yes	1.0	1995.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	85540
yes	1.0	1969.0	3	2016	201603	up floor	2.0	177500.0	3922.6519337016575	355000	90.5	82008
yes	1.0	1971.0	3	2016	201603	up floor	2.0	187500.0	4143.646408839779	375000	90.5	85221
yes	2.0	1972.0	3	2016	201603	up floor	2.0	139750.0	3088.3977900552486	279500	90.5	85716
yes	2.0	1992.0	3	2016	201603	up floor	2.0	167450.0	3700.5524861878453	334900	90.5	82024
yes	1.0	1971.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	81475
yes	2.0	1968.0	3	2016	201603	up floor	2.0	167500.0	3701.657458563536	335000	90.5	80995
yes	2.0	1980.0	3	2016	201603	up floor	2.0	174500.0	3856.353591160221	349000	90.5	82152
yes	1.0	1982.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	85757
yes	2.0	1970.0	3	2016	201603	up floor	2.0	207500.0	4585.635359116022	415000	90.5	81539
yes	1.0	1973.0	3	2016	201603	up floor	2.0	207500.0	4585.635359116022	415000	90.5	81737
yes	1.0	2004.0	3	2016	201603	ground floor	2.0	206000.0	4552.486187845304	412000	90.5	80992
yes	1.0	1966.0	3	2016	201603	up floor	2.0	117500.0	2596.685082872928	235000	90.5	81243
yes	1.0	1969.0	3	2016	201603	up floor	2.0	200550.0	4432.044198895028	401100	90.5	81737
yes	2.0	1999.0	3	2016	201603	ground floor	2.0	203250.0	4491.712707182321	406500	90.5	81829
yes	2.0	1978.0	3	2016	201603	ground floor	2.0	210000.0	4640.883977900552	420000	90.5	82152
yes	1.0	1984.0	3	2016	201603	up floor	2.0	208000.0	4596.685082872928	416000	90.5	81929
yes	2.0	1969.0	3	2016	201603	up floor	2.0	209500.0	4629.834254143647	419000	90.5	80939
yes	2.0	2015.0	3	2016	201603	up floor	2.0	207500.0	4585.635359116022	415000	90.5	81243
yes	1.0	1959.0	3	2016	201603	up floor	2.0	210000.0	4640.883977900552	420000	90.5	81373
yes	1.0	1989.0	3	2016	201603	up floor	2.0	202500.0	4475.138121546961	405000	90.5	80807
yes	1.0	2004.0	3	2016	201603	ground floor	2.0	206000.0	4552.486187845304	412000	90.5	80992
yes	1.0	2004.0	3	2016	201603	up floor	2.0	206000.0	4552.486187845304	412000	90.5	80992
yes	2.0	1981.0	3	2016	201603	up floor	2.0	210000.0	4640.883977900552	420000	90.5	80939
yes	2.0	1971.0	3	2016	201603	up floor	2.0	206250.0	4558.0110497237565	412500	90.5	81927
yes	1.0	1989.0	3	2016	201603	up floor	2.0	209750.0	4635.359116022099	419500	90.5	85757
yes	2.0	1984.0	3	2016	201603	up floor	2.0	204500.0	4519.3370165745855	409000	90.5	81241
yes	3.0	1967.0	3	2016	201603	up floor	2.0	199150.0	4401.1049723756905	398300	90.5	81541
yes	2.0	1961.0	3	2016	201603	up floor	2.0	209500.0	4629.834254143647	419000	90.5	80687
yes	3.0	1967.0	3	2016	201603	up floor	2.0	171125.0	3781.767955801105	342250	90.5	81539
yes	2.0	2016.0	3	2016	201603	up floor	2.0	204450.0	4518.232044198895	408900	90.5	81737
yes	1.0	1965.0	3	2016	201603	ground floor	2.0	152500.0	3370.1657458563536	305000	90.5	80686
yes	2.0	1974.0	3	2016	201603	up floor	2.0	172500.0	3812.1546961325967	345000	90.5	82008
yes	1.0	1994.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	81241
yes	2.0	1968.0	3	2016	201603	up floor	2.0	199000.0	4397.790055248619	398000	90.5	80995
yes	1.0	1962.0	3	2016	201603	up floor	2.0	197500.0	4364.640883977901	395000	90.5	80687
yes	1.0	2017.0	3	2016	201603	up floor	2.0	198000.0	4375.690607734807	396000	90.5	81241
yes	1.0	1973.0	3	2016	201603	up floor	2.0	196450.0	4341.436464088398	392900	90.5	81737
yes	3.0	1976.0	3	2016	201603	up floor	2.0	134500.0	2972.3756906077347	269000	90.5	80993
yes	2.0	2001.0	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	80939
yes	3.0	1967.0	3	2016	201603	up floor	2.0	168500.0	3723.756906077348	337000	90.5	82008
yes	2.0	2000.0	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	81927
yes	3.0	1968.0	3	2016	201603	ground floor	2.0	175000.0	3867.403314917127	350000	90.5	81369
yes	2.0	1973.0	3	2016	201603	up floor	2.0	144500.0	3193.3701657458564	289000	90.5	81737
yes	1.0	1963.0	3	2016	201603	up floor	2.0	195000.0	4309.39226519337	390000	90.5	80807
yes	2.0	1966.0	3	2016	201603	up floor	2.0	164500.0	3635.3591160220994	329000	90.5	80995
yes	3.0	1984.0	3	2016	201603	up floor	2.0	170000.0	3756.9060773480664	340000	90.5	80997
yes	1.0	1983.0	3	2016	201603	ground floor	2.0	172500.0	3812.1546961325967	345000	90.5	81379
yes	2.0	1956.0	3	2016	201603	up floor	2.0	189000.0	4176.795580110497	378000	90.5	80804
yes	1.0	1966.0	3	2016	201603	up floor	2.0	117500.0	2596.685082872928	235000	90.5	81243
yes	1.0	1964.0	3	2016	201603	up floor	2.0	112500.0	2486.1878453038676	225000	90.5	80992
yes	2.0	1987.0	3	2016	201603	up floor	2.0	187500.0	4143.646408839779	375000	90.5	80993
yes	2.0	1997.0	3	2016	201603	ground floor	2.0	174950.0	3866.2983425414363	349900	90.5	85757
yes	2.0	1973.0	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	81737
yes	1.0	1890.0	3	2016	201603	up floor	2.0	194500.0	4298.342541436464	389000	90.5	80339
yes	1.0	2004.0	3	2016	201603	up floor	2.0	206000.0	4552.486187845304	412000	90.5	80992
yes	2.0	1996.0	3	2016	201603	up floor	2.0	207500.0	4585.635359116022	415000	90.5	81737
yes	1.0	1969.0	4	2016	201604	up floor	2.0	177500.0	3922.6519337016575	355000	90.5	81735
yes	3.0	1968.0	4	2016	201604	ground floor	2.0	175000.0	3867.403314917127	350000	90.5	81369
yes	2.0	1993.0	4	2016	201604	up floor	2.0	176500.0	3900.5524861878453	353000	90.5	81243
yes	2.0	1978.0	4	2016	201604	ground floor	2.0	189500.0	4187.845303867403	379000	90.5	81371
yes	2.0	1973.0	4	2016	201604	up floor	2.0	162500.0	3591.160220994475	325000	90.5	82061
yes	1.0	1973.0	4	2016	201604	up floor	2.0	169750.0	3751.3812154696134	339500	90.5	81737
yes	1.0	1973.0	4	2016	201604	up floor	2.0	169400.0	3743.646408839779	338800	90.5	81737
yes	1.0	2016.0	4	2016	201604	up floor	2.0	195000.0	4309.39226519337	390000	90.5	81549
yes	2.0	1965.0	4	2016	201604	up floor	2.0	149000.0	3292.817679558011	298000	90.5	80933
yes	3.0	1984.0	4	2016	201604	up floor	2.0	170000.0	3756.9060773480664	340000	90.5	80997
yes	1.0	1972.0	4	2016	201604	up floor	2.0	164500.0	3635.3591160220994	329000	90.5	85757
